season,week,index,celebrity_name,v_predicted_share,judge_avg_score
4,Week_2,34,Heather Mills,0.07840874697196475,8.0
4,Week_2,35,Billy Ray Cyrus,0.06122364694732501,7.0
4,Week_2,36,Joey Fatone,0.037026820350471355,8.0
4,Week_2,37,Leeza Gibbons,0.03520977730214083,7.0
4,Week_3,27,John Ratzenberger,0.07595298611129261,6.666666666666667
4,Week_3,28,Ian Ziering,0.07042253700020779,8.0
4,Week_3,29,Clyde Drexler,0.10897903367691503,5.333333333333333
4,Week_3,30,Laila Ali,0.08374284390672583,7.0
4,Week_3,31,Apolo Anton Ohno,0.14316862017210327,7.666666666666667
4,Week_3,32,Shandi Finnessey,0.13441502318092985,7.0
4,Week_3,34,Heather Mills,0.07026107358075517,8.0
4,Week_3,35,Billy Ray Cyrus,0.08201862082899733,7.0
4,Week_3,36,Joey Fatone,0.16780828048908256,8.0
4,Week_3,37,Leeza Gibbons,0.06323098105299059,8.0
4,Week_4,27,John Ratzenberger,0.10141568988902575,5.333333333333333
4,Week_4,28,Ian Ziering,0.15830339790296025,8.0
4,Week_4,29,Clyde Drexler,0.07551786983054874,5.0
4,Week_4,30,Laila Ali,0.09514573518728107,7.0
4,Week_4,31,Apolo Anton Ohno,0.10869369643858279,8.666666666666666
4,Week_4,34,Heather Mills,0.052011330686808695,7.666666666666667
4,Week_4,35,Billy Ray Cyrus,0.3022412380266509,7.0
4,Week_4,36,Joey Fatone,0.027915065978807215,9.333333333333334
4,Week_4,37,Leeza Gibbons,0.07875597605933457,5.333333333333333
4,Week_5,27,John Ratzenberger,0.08518359197774482,6.0
4,Week_5,28,Ian Ziering,0.19343247997642635,8.0
4,Week_5,29,Clyde Drexler,0.11547608343464558,4.333333333333333
4,Week_5,30,Laila Ali,0.04984558760730771,9.333333333333334
4,Week_5,31,Apolo Anton Ohno,0.14427398658456667,10.0
4,Week_5,34,Heather Mills,0.11889307740453706,7.0
4,Week_5,35,Billy Ray Cyrus,0.2509850048533468,5.666666666666667
4,Week_5,36,Joey Fatone,0.04191018816142503,8.333333333333334
4,Week_6,27,John Ratzenberger,0.1304949799413893,6.333333333333333
4,Week_6,28,Ian Ziering,0.16381277281614984,8.0
4,Week_6,30,Laila Ali,0.0910794181604132,9.333333333333334
4,Week_6,31,Apolo Anton Ohno,0.079209718896968,9.333333333333334
4,Week_6,34,Heather Mills,0.09622019529540572,7.666666666666667
4,Week_6,35,Billy Ray Cyrus,0.2628878528033506,7.0
4,Week_6,36,Joey Fatone,0.17629506208632337,9.0
4,Week_7,27,John Ratzenberger,0.09805296719946899,7.5
4,Week_7,28,Ian Ziering,0.1519392372916545,9.0
4,Week_7,30,Laila Ali,0.26813145134325467,9.833333333333334
4,Week_7,31,Apolo Anton Ohno,0.10895285900719445,9.0
4,Week_7,35,Billy Ray Cyrus,0.2773253442535736,6.333333333333333
4,Week_7,36,Joey Fatone,0.09559814090485379,9.833333333333334
4,Week_8,28,Ian Ziering,0.20005502922254503,7.833333333333333
4,Week_8,30,Laila Ali,0.24944516346354206,8.833333333333334
4,Week_8,31,Apolo Anton Ohno,0.30848694957029105,9.666666666666666
4,Week_8,35,Billy Ray Cyrus,0.09997554651369353,6.333333333333333
4,Week_8,36,Joey Fatone,0.14203731122992833,9.166666666666666
4,Week_9,28,Ian Ziering,0.06518074280146101,9.666666666666666
4,Week_9,30,Laila Ali,0.25623888559666474,10.0
4,Week_9,31,Apolo Anton Ohno,0.343633626367356,9.833333333333334
4,Week_9,36,Joey Fatone,0.33494674523451823,10.0
4,Week_10,30,Laila Ali,0.1809286233517448,9.444400000000002
4,Week_10,31,Apolo Anton Ohno,0.5488351754592041,9.777733333333334
4,Week_10,36,Joey Fatone,0.27023620118905106,9.5555
5,Week_1,38,Cameron Mathison,0.05773639933132156,7.0
5,Week_1,39,Jane Seymour,0.06932025889359872,8.0
5,Week_1,40,Sabrina Bryan,0.04610888248139196,8.666666666666666
5,Week_1,41,Jennie Garth,0.19427508116563977,7.0
5,Week_1,42,Floyd Mayweather Jr. ,0.04426937951678636,6.0
5,Week_1,43,Josie Maran,0.05822059873367523,5.333333333333333
5,Week_1,44,Albert Reed,0.07832978236021922,7.0
5,Week_1,45,Helio Castroneves,0.09609142101399609,8.333333333333334
5,Week_1,46,Mel B,0.09038252030115312,8.0
5,Week_1,47,Wayne Newton,0.05758382105674848,6.333333333333333
5,Week_1,48,Marie Osmond,0.09781159258635595,7.0
5,Week_1,49,Mark Cuban,0.10987026255911345,7.0
5,Week_2,38,Cameron Mathison,0.07296564170369582,7.0
5,Week_2,39,Jane Seymour,0.06259906294410167,7.0
5,Week_2,40,Sabrina Bryan,0.10993162605776331,8.666666666666666
5,Week_2,41,Jennie Garth,0.036157027158183,7.0
5,Week_2,42,Floyd Mayweather Jr. ,0.20581187112162727,7.0
5,Week_2,44,Albert Reed,0.09467715167140887,7.0
5,Week_2,45,Helio Castroneves,0.08664879748420014,9.0
5,Week_2,46,Mel B,0.08936313002292279,7.666666666666667
5,Week_2,47,Wayne Newton,0.09280751024681655,5.0
5,Week_2,48,Marie Osmond,0.10096212417071171,8.0
5,Week_2,49,Mark Cuban,0.048076057418568886,6.0
5,Week_3,38,Cameron Mathison,0.10953199813062478,7.666666666666667
5,Week_3,39,Jane Seymour,0.09824678561105925,9.0
5,Week_3,40,Sabrina Bryan,0.1673002188853686,9.0
5,Week_3,41,Jennie Garth,0.10625883075394657,8.666666666666666
5,Week_3,42,Floyd Mayweather Jr. ,0.06566152511416369,7.0
5,Week_3,45,Helio Castroneves,0.06002004638132696,8.0
5,Week_3,46,Mel B,0.1203512722985514,9.0
5,Week_3,47,Wayne Newton,0.1320584842142916,6.0
5,Week_3,48,Marie Osmond,0.05016979181652018,8.666666666666666
5,Week_3,49,Mark Cuban,0.09040104679414704,6.666666666666667
5,Week_4,38,Cameron Mathison,0.07853033203667742,9.0
5,Week_4,39,Jane Seymour,0.05839399698215143,8.666666666666666
5,Week_4,40,Sabrina Bryan,0.16459996180298622,10.0
5,Week_4,41,Jennie Garth,0.08620760561082201,9.0
5,Week_4,42,Floyd Mayweather Jr. ,0.19358151885406286,7.666666666666667
5,Week_4,45,Helio Castroneves,0.05310072129139729,9.0
5,Week_4,46,Mel B,0.17687439266542246,8.666666666666666
5,Week_4,48,Marie Osmond,0.09696031091677909,8.666666666666666
