season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
1,Week_5,Kelly Monaco,0.0831477801267937,0.14171727351138727,0.5312000919258332,0.10318379673737914,-0.0938035551977734,0.3840701407796422
1,Week_5,Joey McIntyre,0.6024546586520066,0.14641743831908624,0.6237415963086395,0.12403403444428776,0.0051181682680739,0.4983554389985528
1,Week_6,John O'Hurley,0.670016813849762,0.2811760606995167,0.7586065374108882,0.12057267555263881,-0.0567442077406119,0.3302760756714392
1,Week_6,Kelly Monaco,0.329983186150238,0.24139346258911165,0.7188239393004834,0.12057267555263883,-0.0938035551977734,0.3840701407796422
2,Week_1,Tatum O'Neal,0.0682997179159241,0.04333349601683807,0.15750643718639173,0.031538847003847265,-0.0710532910913316,0.3495942701430468
2,Week_1,Tia Carrere,0.2041978724008212,0.04255939341903454,0.16508421231072867,0.03157455087025956,-0.0765704408631699,0.3569457366170009
2,Week_1,George Hamilton,0.0753471022836194,0.04777816035839053,0.1582920433416056,0.028293787377088278,-0.0289722473369673,0.2939496436873202
2,Week_1,Lisa Rinna,0.0471089683620518,0.042604711452353124,0.15737146325366771,0.029814960047298115,-0.071109009227786,0.3495290933026515
2,Week_1,Stacy Keibler,0.0832357703477471,0.03867299262863061,0.253262540684244,0.05588829026349277,0.083952640331309,0.5067435093336405
2,Week_1,Jerry Rice,0.1131085481031922,0.042974939011730655,0.22816954874613202,0.049867356678725265,0.126699665746017,0.4680174457179626
2,Week_1,Giselle Fernandez,0.0705225379767144,0.04467750325732073,0.19949102853722828,0.040581305343342054,0.0755163177745281,0.388272936481453
2,Week_1,Master P,0.0626428252937537,0.03893331614281999,0.20661775580377092,0.04556184455985643,0.0036191748211603,0.4767653700742725
2,Week_1,Drew Lachey,0.1516757562543909,0.03820839110891534,0.21615723803505896,0.04735216317223004,-0.0004375033229007,0.5087695509885239
2,Week_1,Kenny Mayne,0.1238609010617848,0.04720474585748066,0.20235782130931398,0.03921610173642911,0.0789202515703133,0.3825722021852206
2,Week_2,Tatum O'Neal,0.0925678034410581,0.04833090539250242,0.18555416605974606,0.033743040544750705,-0.0710532910913316,0.3495942701430468
