season,player_index,player_name,predicted_votes,mu,elimination_order
7,4,Misty May-Treanor,1375.031194248954,0.31847641750964584,3
7,5,Maurice Greene,1067.3886163452016,0.0652151199384835,8
7,6,Warren Sapp,1567.5594176460565,0.44951989872275816,11
7,7,Jeffrey Ross,225.1276364340709,-1.4910877646539906,0
7,8,Toni Braxton,836.1776549260031,-0.17891418265932701,5
7,9,Lance Bass,1422.2050177136377,0.3522084965180243,10
7,10,Kim Kardashian,9933.283473257436,2.2958910852818626,2
7,11,Rocco DiSpirito,1033.7013113569485,0.03314586711839762,4
7,12,Brooke Burke,1753.1209526325918,0.5613976009894269,12
8,0,Gilles Marini,7397.12983069759,2.0010921419427663,11
8,1,Denise Richards,3213.2186745091462,1.167273214797629,1
8,2,David Alan Grier,121.85562222139758,-2.1049182817766705,4
8,3,Lawrence Taylor,384.0102317193508,-0.9570860039603016,6
8,4,Ty Murray,2868.9468253780824,1.0539450803133361,9
8,5,Shawn Johnson,467274.9268849967,6.1469178706678,12
8,6,Steve Wozniak,126.53278823354442,-2.067253731191221,3
8,7,Belinda Carlisle,11.702429801814233,-4.447958705684626,0
8,8,Chuck Wicks,983.3685998997906,-0.01677117696801131,7
8,9,Lil' Kim,851.2356032813071,-0.16106625641969186,8
8,10,Steve-O,390.9905082499668,-0.9390719171803534,5
8,11,Holly Madison,838.0766264056061,-0.17664566536896642,2
8,12,Melissa Rycroft,1651.2677944402951,0.5015434308283122,10
9,0,Ashley Hamiliton,375.5255576040935,-0.9794409486966424,0
9,1,Debi Mazar,472.8384155768415,-0.7490112556963172,4
9,2,Melissa Joan Hart,376.9289355449204,-0.9757107652249697,7
9,3,Mark Dacascos,473.21796567635016,-0.7482088642040046,10
9,4,Chuck Liddell,622.5030277431265,-0.47401414811939746,5
9,5,Natalie Coughlin,452.724374041576,-0.7924819056899136,6
9,6,Louie Vito,399.5852372169047,-0.9173396436992504,8
9,7,Michael Irvin,641.8352048405757,-0.4434308381657256,9
9,8,Joanna Krupa,1144.767771669156,0.13519779309983707,12
9,9,Kathy Ireland,1586.0327692510814,0.4612328941340041,2
9,10,Tom DeLay,169.23182129377423,-1.7765128532358807,3
9,11,Macy Gray,4917.589593668833,1.5928175569033638,1
9,12,Aaron Carter,3302.8496930323095,1.1947842501618169,11
9,13,Mya,4046.8267969676303,1.397931933077327,14
9,14,Donny Osmond,5937.934309532111,1.7813605400698058,15
9,15,Kelly Osbourne,3643.072848850182,1.2928262552859482,13
10,0,Aiden Turner,213.38082728938724,-1.5446767465104063,2
10,1,Shannen Doherty,49.247397070913124,-3.010898722467701,0
10,2,Niecy Nash,354.8408837642594,-1.0360857630885039,6
10,3,Buzz Aldrin,48.51254640913246,-3.0259327839997603,1
10,4,Chad Ochocinco,1463.5794696817459,0.38088516843555054,7
10,5,Evan Lysacek,8441.1073343952,2.133113542404562,9
10,6,Pamela Anderson,519.7747461020216,-0.6543597001844694,5
10,7,Nicole Scherzinger,484211.38954897376,6.182521608278325,10
10,8,Erin Andrews,721.2478722682596,-0.32677236958047984,8
10,9,Kate Gosselin,721.4979507129108,-0.3264256994419532,3
10,10,Jake Pavelka,3416.5505279183517,1.228631466154835,4
11,0,David Hasselhoff,15.791496588125053,-4.148283605872028,0
11,1,Florence Henderson,484.928806892142,-0.7237531201537148,4
11,2,Kyle Massey,7485.540483164192,2.012973292682972,10
11,3,Jennifer Grey,3838.6690874472934,1.3451257832909533,11
11,4,Rick Fox,4639.639269562537,1.5346366881659497,6
11,5,Kurt Warner,759.729302888811,-0.27479302097978575,7
11,6,Margaret Cho,3713.560692833088,1.311991240407886,2
11,7,Michael Bolton,87.97387432823083,-2.4307153226373024,1
11,8,Brandy,1573.01312508303,0.4529930366016549,8
11,9,The Situation,2320.819192114302,0.8419202919810772,3
11,10,Audrina Patridge,624.9174891565978,-0.47013558673149447,5
11,11,Bristol Palin,1729.8596095455443,0.5480403232438369,9
12,0,Ralph Macchio,3664.50452540358,1.2986931349099573,7
12,1,Chelsea Kane,9147.3499700451,2.2134642161753835,8
12,2,Kirstie Alley,2144.3083553045212,0.7628170549001547,9
12,3,Hines Ward,3843.163257083814,1.3462957919533967,10
12,4,Sugar Ray Leonard,2098.200548242194,0.7410800952031338,2
12,5,Chris Jericho,552.6665069065735,-0.5930005214301428,4
12,6,Petra Nemcova,273.20213030132703,-1.2975433541306143,3
12,7,Mike Catherwood,292.0779821877056,-1.2307344504857332,0
12,8,Romeo,1074.4554420572592,0.07181396730007572,6
12,9,Wendy Williams,131.98449560748622,-2.025070821217241,1
12,10,Kendra Wilkinson,275.8728762205226,-1.287815113178371,5
13,0,Elisabetta Canalis,2118.37969184349,0.7506499906048667,1
13,1,David Arquette,1428.8655768318538,0.3568785887144982,6
13,2,Ricki Lake,1442.6106808747702,0.3664522284726121,9
13,3,J.R. Martinez,2355.118517776245,0.8565896943672973,11
13,4,Metta World Peace (Ron),426.8447019113708,-0.8513425178150228,0
13,5,Hope Solo,684.4329853765761,-0.37916921343364945,8
13,6,Chynna Phillips,328.1387751666367,-1.1143284081735918,3
13,7,Kristin Cavallari,1280.740703267651,0.24743608841204173,2
13,8,Carson Kressley,1135.1916938698523,0.1267987133220442,4
13,9,Chaz Bono,987.0540018056136,-0.013033767258363527,5
13,10,Nancy Grace,496.21028676580056,-0.7007619200020121,7
13,11,Rob Kardashian,1424.516940931172,0.3538305227892793,10
14,0,William Levy,854.3880450528809,-0.15741388475423232,9
14,1,Jack Wagner,433.4821037669342,-0.8359916525675102,1
14,2,Sherri Sheperd,513.2927681046264,-0.6669822742790497,2
14,3,Jaleel White,635.7605756496703,-0.45299248080114607,5
14,4,Roshon Fegan,2909.4089062931794,1.067936990239386,6
14,5,Melissa Gilbert,532.4347123552551,-0.6303657325018186,7
14,6,Martina Navratilova,684.4690403574282,-0.37916688994397646,0
14,7,Donald Driver,3947.5461069157072,1.3730846060725028,11
14,8,Gavin DeGraw,1988.785866236586,0.6875053974257782,3
14,9,Gladys Knight,251.7906789226219,-1.3793067625799926,4
14,10,Katherine Jenkins,2825.0223431247246,1.0385029416320724,10
14,11,Maria Menounos,1398.2433207535748,0.33518974205798896,8
15,0,Gilles Marini,4755.217791417173,1.5590901542168563,7
15,1,Sabrina Bryan,5498.109506826415,1.7042715135249786,5
15,2,Kirstie Alley,2996.6492080276394,1.0972574772508492,6
15,3,Kelly Monaco,4751.398850910743,1.5582866099837183,10
15,4,Apolo Anton Ohno,6627.213579164595,1.8910729672837499,8
15,5,Emmitt Smith,5209.860014665741,1.6504132697214708,9
15,6,Shawn Johnson,7957.71980913367,2.074048385935516,11
15,7,Pamela Anderson,1.0,-9.660995825603756,0
15,8,Helio Castroneves,5831.755883441288,1.7631925013622567,3
15,9,Joey Fatone,10.491391053444465,-4.625026906275724,1
15,10,Drew Lachey,10.319620505806064,-4.642703632402673,2
15,11,Bristol Palin,17969.392232349874,2.888623929567757,4
15,12,Melissa Rycroft,15526.085263640125,2.742469555435003,12
16,0,Ingo Rademacher,631.0998262714181,-0.46029117784212414,7
16,1,Zendaya,47972.89476028438,3.870636206743826,10
16,2,Dorothy Hamill,22.764407559003708,-3.782556986908821,0
16,3,Victor Ortiz,2071.8576841245763,0.7284456845990989,4
16,4,Alexandra Raisman,5771.641107492159,1.752956508618184,8
16,5,Jacoby Jones,1159.7476672668236,0.1482025010661881,9
16,6,D. L. Hughley,219.42196600675643,-1.5167585697878596,3
16,7,Andy Dick,902.1204797668837,-0.10300715042392583,5
16,8,Wynonna Judd,235.99228695865858,-1.443956109040308,1
16,9,Kellie Pickler,24224.582543410288,3.1873679729870505,11
16,10,Lisa Vanderpump,63.23412317131222,-2.7609111521100487,2
16,11,Sean Lowe,1462.097756889738,0.37987227209873475,6
17,0,Valerie Harper,233.58720174755734,-1.4542010274320365,2
17,1,Brant Daugherty,19614.291690307,2.9762572575320023,5
17,2,Elizabeth Berkley Lauren,5765.834687767739,1.7519487177661155,6
17,3,Leah Remini,3577.490980271854,1.2746605003439733,7
17,4,Corbin Bleu,7760.458931386579,2.049040262225448,10
17,5,Amber Riley,20051.356706377974,2.9982956067533015,11
17,6,Keyshawn Johnson,1.0,-7.711319700225909,0
17,7,Bill Engvall,1251.254595371059,0.22414551340123134,8
17,8,Christina Milian,332.3357501731045,-1.10161073624207,3
17,9,"Nicole ""Snooki"" Polizzi",2351.8297860581065,0.8551924466807601,4
17,10,Jack Osbourne,2295.1539945961126,0.8307987304397398,9
17,11,Bill Nye,67.66363717801063,-2.6932075712425565,1
18,0,Billy Dee Williams,26.93526810364113,-3.614318743797695,2
18,1,Danica McKellar,18272.424965937935,2.905393116345519,6
18,2,James Maslow,16721.91656536077,2.8167202535765687,8
18,3,Candace Cameron Bure,12654.385165605387,2.5380038338849795,9
18,4,Sean Avery,50.57976461455016,-2.984203666102604,1
18,5,Diana Nyad,41.384322868425855,-3.184853119167612,0
18,6,Charlie White,17911.535759267692,2.885444986473561,7
18,7,Amy Purdy,16146.331542747279,2.7816929001848356,10
18,8,Meryl Davis,10637.721347547356,2.3644063272873934,11
18,9,Drew Carey,48.1997461596563,-3.032401498962302,4
18,10,Cody Simpson,56.34202245815545,-2.8763145944280346,3
18,11,NeNe Leakes,549.0477743037728,-0.599569795294608,5
