celebrity_name,season,year,wikipedia_title,wikipedia_url,total_pageviews,total_edits,status,Unnamed: 8
Kyle Massey,11,2010,Kyle Massey,https://en.wikipedia.org/wiki/Kyle_Massey,0,2205,Success,
Jennifer Grey,11,2010,Jennifer Grey,https://en.wikipedia.org/wiki/Jennifer_Grey,0,538,Success,
Rick Fox,11,2010,Rick Fox,https://en.wikipedia.org/wiki/Rick_Fox,0,640,Success,
Kurt Warner,11,2010,Kurt Warner,https://en.wikipedia.org/wiki/Kurt_Warner,0,2339,Success,
Margaret Cho,11,2010,Margaret Cho,https://en.wikipedia.org/wiki/Margaret_Cho,0,1217,Success,
Michael Bolton,11,2010,Michael Bolton,https://en.wikipedia.org/wiki/Michael_Bolton,0,1482,Success,
Brandy,11,2010,Brandy,https://en.wikipedia.org/wiki/Brandy,0,884,Success,
The Situation,11,2010,Michael Sorrentino,https://en.wikipedia.org/wiki/Michael_Sorrentino,0,206,Success,
Audrina Patridge,11,2010,Audrina Patridge,https://en.wikipedia.org/wiki/Audrina_Patridge,0,1550,Success,
Bristol Palin,11,2010,Bristol Palin,https://en.wikipedia.org/wiki/Bristol_Palin,0,1109,Success,
Ralph Macchio,12,2011,Ralph Macchio,https://en.wikipedia.org/wiki/Ralph_Macchio,0,1221,Success,
Chelsea Kane,12,2011,Chelsea Kane,https://en.wikipedia.org/wiki/Chelsea_Kane,0,1869,Success,
Kirstie Alley,12,2011,Kirstie Alley,https://en.wikipedia.org/wiki/Kirstie_Alley,0,1546,Success,
Hines Ward,12,2011,Hines Ward,https://en.wikipedia.org/wiki/Hines_Ward,0,1890,Success,
Sugar Ray Leonard,12,2011,Sugar Ray Leonard,https://en.wikipedia.org/wiki/Sugar_Ray_Leonard,0,1295,Success,
Chris Jericho,12,2011,Chris Jericho,https://en.wikipedia.org/wiki/Chris_Jericho,0,8158,Success,
Petra Nemcova,12,2011,A Model Life,https://en.wikipedia.org/wiki/A_Model_Life,0,124,Success,
Mike Catherwood,12,2011,Drew Pinsky,https://en.wikipedia.org/wiki/Drew_Pinsky,0,994,Success,
Romeo,12,2011,Romeo,https://en.wikipedia.org/wiki/Romeo,0,913,Success,
Wendy Williams,12,2011,Wendy Williams,https://en.wikipedia.org/wiki/Wendy_Williams,0,1813,Success,
Kendra Wilkinson,12,2011,Kendra Wilkinson,https://en.wikipedia.org/wiki/Kendra_Wilkinson,0,2224,Success,
Elisabetta Canalis,13,2011,Elisabetta Canalis,https://en.wikipedia.org/wiki/Elisabetta_Canalis,0,340,Success,
David Arquette,13,2011,David Arquette,https://en.wikipedia.org/wiki/David_Arquette,0,1205,Success,
Ricki Lake,13,2011,Ricki Lake,https://en.wikipedia.org/wiki/Ricki_Lake,0,914,Success,
J.R. Martinez,13,2011,Sergio Martínez (boxer),https://en.wikipedia.org/wiki/Sergio_Mart%C3%ADnez_(boxer),0,495,Success,
Metta World Peace (Ron),13,2011,Metta_Sandiford-Artest,https://en.wikipedia.org/wiki/Metta_Sandiford-Artest,0,2658,Success,
Hope Solo,13,2011,Hope Solo,https://en.wikipedia.org/wiki/Hope_Solo,0,701,Success,
Chynna Phillips,13,2011,Chynna Phillips,https://en.wikipedia.org/wiki/Chynna_Phillips,0,245,Success,
Kristin Cavallari,13,2011,Kristin Cavallari,https://en.wikipedia.org/wiki/Kristin_Cavallari,0,2036,Success,
Carson Kressley,13,2011,Carson Kressley,https://en.wikipedia.org/wiki/Carson_Kressley,0,453,Success,
Chaz Bono,13,2011,Chaz Bono,https://en.wikipedia.org/wiki/Chaz_Bono,0,945,Success,
Nancy Grace,13,2011,Nancy Grace,https://en.wikipedia.org/wiki/Nancy_Grace,0,2857,Success,
Rob Kardashian,13,2011,Rob Kardashian,https://en.wikipedia.org/wiki/Rob_Kardashian,0,1567,Success,
William Levy,14,2012,William Levy (actor),https://en.wikipedia.org/wiki/William_Levy_(actor),0,1942,Success,
Jack Wagner,14,2012,Jack Wagner (actor),https://en.wikipedia.org/wiki/Jack_Wagner_(actor),0,403,Success,
Sherri Sheperd,14,2012,Sherri_Shepherd,https://en.wikipedia.org/wiki/Sherri_Shepherd,0,1175,Success,
Jaleel White,14,2012,Jaleel White,https://en.wikipedia.org/wiki/Jaleel_White,0,1994,Success,
Roshon Fegan,14,2012,Roshon Fegan,https://en.wikipedia.org/wiki/Roshon_Fegan,0,943,Success,
Melissa Gilbert,14,2012,Melissa Gilbert,https://en.wikipedia.org/wiki/Melissa_Gilbert,0,678,Success,
Martina Navratilova,14,2012,Martina Navratilova,https://en.wikipedia.org/wiki/Martina_Navratilova,0,1848,Success,
Donald Driver,14,2012,Donald Driver,https://en.wikipedia.org/wiki/Donald_Driver,0,738,Success,
Gavin DeGraw,14,2012,Gavin DeGraw,https://en.wikipedia.org/wiki/Gavin_DeGraw,0,1362,Success,
