season,week,celebrity_name,v_predicted_share,ci_lower,ci_upper,ci_std,mu_base,sigma
3,Week_1,Vivica A. Fox,0.0877303444707174,0.05092855396714154,0.14761425433688088,0.02455497365471446,-0.0079740726104119,0.2836132821665206
3,Week_1,Monique Coleman,0.0746440297466862,0.04797052060048761,0.15627634305948634,0.02841782239467579,-0.0162394054161242,0.3164911040794353
3,Week_1,Joey Lawrence,0.0967317265706802,0.04957157274660943,0.1508829870322041,0.025231031753152777,-0.0137218255788263,0.3061921849109386
3,Week_1,Mario Lopez,0.1088230739172345,0.0483594901851958,0.1533179896742252,0.02612998551324306,-0.0128853734427911,0.3026569106509522
3,Week_1,Emmitt Smith,0.0423470899875112,0.036358143229073554,0.19430162627939732,0.041022908566299594,0.0100088585832359,0.4533460735815194
3,Week_1,Shanna Moakler,0.0905159579038009,0.06325975656991205,0.11178070394546134,0.012606865997448329,-0.0304096794541662,0.1219907176725135
3,Week_1,Willa Ford,0.1034696375789377,0.05328798426247828,0.13834917422225523,0.021994685098871057,-0.014929202708797,0.2430150322395748
3,Week_1,Sara Evans,0.0652914349399731,0.055311898630343234,0.13835219949637803,0.021085098789640676,-0.0099628939930308,0.2276052432111284
3,Week_1,Jerry Springer,0.1684606710120146,0.04926438967022668,0.15413774334988586,0.026937285629573073,0.0317140806218274,0.3039987687599547
3,Week_1,Tucker Carlson,0.0873535098694952,0.04364581243560523,0.16718690661512509,0.0326336653589007,0.0194565542852041,0.3575579394331121
3,Week_10,Mario Lopez,0.4388406668374869,0.23850571595727346,0.7504865911815034,0.13213575949991962,-0.0128853734427911,0.3026569106509522
3,Week_10,Emmitt Smith,0.5611593331625131,0.2495134088184965,0.7614942840427267,0.1321357594999196,0.0100088585832359,0.4533460735815194
3,Week_2,Harry Hamlin,0.1069570499960591,0.059678111074281476,0.15737862576556766,0.02519507152542723,-0.0021941614511523,0.2626191628038881
3,Week_2,Vivica A. Fox,0.1502224971009864,0.0548891277263511,0.16176532440740898,0.02728776530008851,-0.0079740726104119,0.2836132821665206
3,Week_2,Monique Coleman,0.0753280441754222,0.0534321296083668,0.17197703934675507,0.02963394361654071,-0.0162394054161242,0.3164911040794353
3,Week_2,Joey Lawrence,0.065615818387184,0.053233218913134296,0.1714185373403328,0.029956582317768002,-0.0137218255788263,0.3061921849109386
3,Week_2,Mario Lopez,0.0834849765927268,0.05494263402673981,0.16115218843049822,0.028248049581084345,-0.0128853734427911,0.3026569106509522
3,Week_2,Emmitt Smith,0.102159758396537,0.042999974384690214,0.21091151631751717,0.04437137547619782,0.0100088585832359,0.4533460735815194
3,Week_2,Shanna Moakler,0.0949423225307237,0.06979243925352967,0.12508677171610474,0.013971373431973202,-0.0304096794541662,0.1219907176725135
3,Week_2,Willa Ford,0.109134420187487,0.0603230691824518,0.1495713939189483,0.02379255282380026,-0.014929202708797,0.2430150322395748
3,Week_2,Sara Evans,0.1360469874904029,0.06363364639866642,0.14589281443170438,0.02117267149642236,-0.0099628939930308,0.2276052432111284
3,Week_2,Jerry Springer,0.0761081251424705,0.05354686500991611,0.17357380842831283,0.029858072264348275,0.0317140806218274,0.3039987687599547
3,Week_3,Harry Hamlin,0.0710420986005539,0.06593797185853181,0.17507222566816075,0.028128803558669323,-0.0021941614511523,0.2626191628038881
3,Week_3,Vivica A. Fox,0.1062482304857269,0.061058138709032976,0.18120456369882929,0.031500311749591316,-0.0079740726104119,0.2836132821665206
3,Week_3,Monique Coleman,0.0955553606692551,0.05733713939786267,0.1854302953005372,0.03327140909765916,-0.0162394054161242,0.3164911040794353
3,Week_3,Joey Lawrence,0.0944485839519625,0.05682425212095271,0.17750919381436342,0.03108140288507164,-0.0137218255788263,0.3061921849109386
3,Week_3,Mario Lopez,0.0639266192533058,0.05956096137208493,0.19096916083733598,0.03234083652402109,-0.0128853734427911,0.3026569106509522
3,Week_3,Emmitt Smith,0.1341551432021376,0.04684026796142152,0.22926070930788411,0.04716937221135277,0.0100088585832359,0.4533460735815194
3,Week_3,Willa Ford,0.1130451879623504,0.06174947724480227,0.17085735418895687,0.027818328709497856,-0.014929202708797,0.2430150322395748
3,Week_3,Sara Evans,0.0907966688118467,0.06746600373967362,0.1625685458311716,0.024141022444622445,-0.0099628939930308,0.2276052432111284
3,Week_3,Jerry Springer,0.230782107062861,0.05919982114617215,0.1933567033929647,0.032783958374759836,0.0317140806218274,0.3039987687599547
3,Week_4,Vivica A. Fox,0.0974880953069285,0.07241075350223976,0.1942527771435892,0.03329699778687767,-0.0079740726104119,0.2836132821665206
3,Week_4,Monique Coleman,0.1870336140331445,0.06383279606914545,0.20033528013197663,0.03483875339664029,-0.0162394054161242,0.3164911040794353
3,Week_4,Joey Lawrence,0.1136824663898063,0.06487864389369755,0.2042980259120985,0.03631015717407361,-0.0137218255788263,0.3061921849109386
3,Week_4,Mario Lopez,0.1047994438769222,0.0688551055426476,0.20354074355422472,0.03483555259681173,-0.0128853734427911,0.3026569106509522
3,Week_4,Emmitt Smith,0.0817314465191405,0.05317305013212863,0.255101045983695,0.05210500242699253,0.0100088585832359,0.4533460735815194
3,Week_4,Willa Ford,0.1741241457500444,0.07432869949513178,0.19332840492007225,0.02907597617984537,-0.014929202708797,0.2430150322395748
